=== crd ===
NAME                                                    CREATED AT
adminnetworkpolicies.policy.networking.k8s.io           2026-08-12T10:12:18Z
alertmanagerconfigs.monitoring.coreos.com               2026-08-12T10:13:44Z
alertmanagers.monitoring.coreos.com                     2026-08-12T10:13:46Z
apiservers.operator.tigera.io                           2026-08-12T10:11:59Z
baselineadminnetworkpolicies.policy.networking.k8s.io   2026-08-12T10:12:18Z
bgpconfigurations.crd.projectcalico.org                 2026-08-12T10:12:07Z
bgpfilters.crd.projectcalico.org                        2026-08-12T10:12:09Z
bgppeers.crd.projectcalico.org                          2026-08-12T10:12:09Z
blockaffinities.crd.projectcalico.org                   2026-08-12T10:12:09Z
caliconodestatuses.crd.projectcalico.org                2026-08-12T10:12:09Z
cephblockpoolradosnamespaces.ceph.rook.io               2026-08-12T10:12:41Z
cephblockpools.ceph.rook.io                             2026-08-12T10:12:42Z
cephbucketnotifications.ceph.rook.io                    2026-08-12T10:12:43Z
cephbuckettopics.ceph.rook.io                           2026-08-12T10:12:44Z
cephclients.ceph.rook.io                                2026-08-12T10:12:44Z
cephclusters.ceph.rook.io                               2026-08-12T10:12:45Z
cephcosidrivers.ceph.rook.io                            2026-08-12T10:12:45Z
cephfilesystemmirrors.ceph.rook.io                      2026-08-12T10:12:46Z
cephfilesystems.ceph.rook.io                            2026-08-12T10:12:48Z
cephfilesystemsubvolumegroups.ceph.rook.io              2026-08-12T10:12:49Z
cephnfses.ceph.rook.io                                  2026-08-12T10:12:50Z
cephnvmeofgateways.ceph.rook.io                         2026-08-12T10:12:51Z
cephobjectrealms.ceph.rook.io                           2026-08-12T10:12:51Z
cephobjectstores.ceph.rook.io                           2026-08-12T10:12:52Z
cephobjectstoreusers.ceph.rook.io                       2026-08-12T10:12:52Z
cephobjectzonegroups.ceph.rook.io                       2026-08-12T10:12:53Z
cephobjectzones.ceph.rook.io                            2026-08-12T10:12:54Z
cephrbdmirrors.ceph.rook.io                             2026-08-12T10:12:56Z
clusterinformations.crd.projectcalico.org               2026-08-12T10:12:09Z
felixconfigurations.crd.projectcalico.org               2026-08-12T10:12:10Z
gatewayapis.operator.tigera.io                          2026-08-12T10:12:01Z
globalnetworkpolicies.crd.projectcalico.org             2026-08-12T10:12:10Z
globalnetworksets.crd.projectcalico.org                 2026-08-12T10:12:10Z
goldmanes.operator.tigera.io                            2026-08-12T10:12:02Z
hostendpoints.crd.projectcalico.org                     2026-08-12T10:12:10Z
imagesets.operator.tigera.io                            2026-08-12T10:12:02Z
installations.operator.tigera.io                        2026-08-12T10:12:04Z
ipamblocks.crd.projectcalico.org                        2026-08-12T10:12:11Z
ipamconfigs.crd.projectcalico.org                       2026-08-12T10:12:11Z
ipamhandles.crd.projectcalico.org                       2026-08-12T10:12:11Z
ippools.crd.projectcalico.org                           2026-08-12T10:12:11Z
ipreservations.crd.projectcalico.org                    2026-08-12T10:12:11Z
kubecontrollersconfigurations.crd.projectcalico.org     2026-08-12T10:12:12Z
managementclusterconnections.operator.tigera.io         2026-08-12T10:12:04Z
networkpolicies.crd.projectcalico.org                   2026-08-12T10:12:14Z
networksets.crd.projectcalico.org                       2026-08-12T10:12:14Z
objectbucketclaims.objectbucket.io                      2026-08-12T10:12:56Z
objectbuckets.objectbucket.io                           2026-08-12T10:12:57Z
podmonitors.monitoring.coreos.com                       2026-08-12T10:13:46Z
probes.monitoring.coreos.com                            2026-08-12T10:13:46Z
prometheusagents.monitoring.coreos.com                  2026-08-12T10:13:47Z
prometheuses.monitoring.coreos.com                      2026-08-12T10:13:49Z
prometheusrules.monitoring.coreos.com                   2026-08-12T10:13:49Z
scrapeconfigs.monitoring.coreos.com                     2026-08-12T10:13:51Z
servicemonitors.monitoring.coreos.com                   2026-08-12T10:13:51Z
stagedglobalnetworkpolicies.crd.projectcalico.org       2026-08-12T10:12:15Z
stagedkubernetesnetworkpolicies.crd.projectcalico.org   2026-08-12T10:12:16Z
stagednetworkpolicies.crd.projectcalico.org             2026-08-12T10:12:17Z
thanosrulers.monitoring.coreos.com                      2026-08-12T10:13:52Z
tiers.crd.projectcalico.org                             2026-08-12T10:12:17Z
tigerastatuses.operator.tigera.io                       2026-08-12T10:12:05Z
whiskers.operator.tigera.io                             2026-08-12T10:12:06Z
