=== deployments -A ===
NAMESPACE         NAME                                    READY   UP-TO-DATE   AVAILABLE   AGE
calico-system     calico-apiserver                        2/2     2            2           72m
calico-system     calico-kube-controllers                 1/1     1            1           72m
calico-system     calico-typha                            2/2     2            2           72m
ingress-nginx     ingress-nginx-controller                1/1     1            1           70m
kube-system       coredns                                 2/2     2            2           76m
monitoring        blackbox-exporter                       1/1     1            1           71m
monitoring        grafana                                 1/1     1            1           71m
monitoring        kube-state-metrics                      1/1     1            1           70m
monitoring        prometheus-adapter                      2/2     2            2           70m
monitoring        prometheus-operator                     1/1     1            1           71m
rook-ceph         csi-cephfsplugin-provisioner            2/2     2            2           68m
rook-ceph         csi-rbdplugin-provisioner               2/2     2            2           68m
rook-ceph         rook-ceph-crashcollector-hks-worker-1   1/1     1            1           53m
rook-ceph         rook-ceph-crashcollector-hks-worker-2   1/1     1            1           54m
rook-ceph         rook-ceph-crashcollector-hks-worker-3   1/1     1            1           54m
rook-ceph         rook-ceph-exporter-hks-worker-1         1/1     1            1           53m
rook-ceph         rook-ceph-exporter-hks-worker-2         1/1     1            1           54m
rook-ceph         rook-ceph-exporter-hks-worker-3         1/1     1            1           54m
rook-ceph         rook-ceph-mgr-a                         1/1     1            1           54m
rook-ceph         rook-ceph-mgr-b                         1/1     1            1           54m
rook-ceph         rook-ceph-mon-a                         1/1     1            1           59m
rook-ceph         rook-ceph-mon-b                         1/1     1            1           54m
rook-ceph         rook-ceph-mon-c                         1/1     1            1           54m
rook-ceph         rook-ceph-operator                      1/1     1            1           72m
rook-ceph         rook-ceph-osd-0                         1/1     1            1           53m
rook-ceph         rook-ceph-osd-1                         1/1     1            1           53m
rook-ceph         rook-ceph-osd-2                         1/1     1            1           53m
tigera-operator   tigera-operator                         1/1     1            1           73m
