=== events -A (recent) ===
NAMESPACE   LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
rook-ceph   53m         Normal    ReconcileRequeuing        cephblockpool/replicapool                                     requeuing CephBlockPool "rook-ceph/replicapool"
rook-ceph   53m         Normal    ReconcileSucceeded        cephblockpool/replicapool                                     successfully configured CephBlockPool "rook-ceph/replicapool"
rook-ceph   53m         Normal    ReconcileSucceeded        cephcluster/rook-ceph                                         successfully configured CephCluster "rook-ceph/rook-ceph"
default     54m         Warning   IPAddressWrongReference   ipaddress/172.30.97.83                                        IPAddress: 172.30.97.83 for Service rook-ceph/rook-ceph-exporter has a wrong reference; cleaning up
rook-ceph   60m         Normal    Killing                   pod/rook-ceph-mon-b-canary-564c4f9fbd-n2gtn                   Stopping container log-collector
rook-ceph   60m         Normal    Killing                   pod/rook-ceph-mon-b-canary-564c4f9fbd-n2gtn                   Stopping container mon
rook-ceph   59m         Normal    Created                   pod/rook-ceph-mon-c-canary-757b56b9f7-lhvgn                   Container created
rook-ceph   59m         Normal    Pulled                    pod/rook-ceph-mon-c-canary-757b56b9f7-lhvgn                   Successfully pulled image "quay.io/ceph/ceph:v19.2.3" in 1m42.166s (1m42.167s including waiting). Image size: 533399704 bytes.
rook-ceph   59m         Normal    Started                   pod/rook-ceph-mon-c-canary-757b56b9f7-lhvgn                   Container started
rook-ceph   59m         Normal    Killing                   pod/rook-ceph-mon-c-canary-757b56b9f7-lhvgn                   Stopping container log-collector
rook-ceph   59m         Normal    Killing                   pod/rook-ceph-mon-c-canary-757b56b9f7-lhvgn                   Stopping container mon
rook-ceph   59m         Normal    ScalingReplicaSet         deployment/rook-ceph-mon-a                                    Scaled up replica set rook-ceph-mon-a-778fb5447 from 0 to 1
rook-ceph   59m         Warning   FailedScheduling          pod/rook-ceph-mon-a-778fb5447-qtdgv                           0/4 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector. no new claims to deallocate, preemption: 0/4 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 3 Preemption is not helpful for scheduling.
rook-ceph   59m         Normal    SuccessfulCreate          replicaset/rook-ceph-mon-a-778fb5447                          Created pod: rook-ceph-mon-a-778fb5447-qtdgv
rook-ceph   59m         Normal    Started                   pod/rook-ceph-mon-a-canary-8c6ccf57f-2bkgq                    Container started
rook-ceph   59m         Normal    Created                   pod/rook-ceph-mon-a-canary-8c6ccf57f-2bkgq                    Container created
rook-ceph   59m         Normal    Pulled                    pod/rook-ceph-mon-a-canary-8c6ccf57f-2bkgq                    Successfully pulled image "quay.io/ceph/ceph:v19.2.3" in 2m4.027s (2m4.027s including waiting). Image size: 533399704 bytes.
rook-ceph   59m         Normal    Killing                   pod/rook-ceph-mon-a-canary-8c6ccf57f-2bkgq                    Stopping container log-collector
rook-ceph   59m         Normal    Killing                   pod/rook-ceph-mon-a-canary-8c6ccf57f-2bkgq                    Stopping container mon
rook-ceph   55m         Normal    Pulled                    pod/rook-ceph-mon-a-778fb5447-dt4zb                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   55m         Normal    Scheduled                 pod/rook-ceph-mon-a-778fb5447-dt4zb                           Successfully assigned rook-ceph/rook-ceph-mon-a-778fb5447-dt4zb to hks-worker-3
rook-ceph   55m         Normal    SuccessfulCreate          replicaset/rook-ceph-mon-a-778fb5447                          Created pod: rook-ceph-mon-a-778fb5447-dt4zb
rook-ceph   55m         Normal    Pulled                    pod/rook-ceph-mon-a-778fb5447-dt4zb                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   55m         Normal    Started                   pod/rook-ceph-mon-a-778fb5447-dt4zb                           Container started
